,0,1,2,3,4,5
Duke,0.972,0.792,0.583,0.366,0.158,0.094
North Dakota State,0.028,0.005,0.001,0.0,0.0,0.0
Virginia Commonwealth,0.556,0.121,0.063,0.022,0.004,0.001
Central Florida,0.444,0.082,0.027,0.005,0.001,0.0
Mississippi State,0.601,0.293,0.081,0.031,0.004,0.002
Liberty,0.399,0.155,0.035,0.01,0.004,0.001
Virginia Tech,0.845,0.507,0.203,0.088,0.019,0.007
Saint Louis,0.155,0.045,0.007,0.0,0.0,0.0
Maryland,0.389,0.175,0.037,0.007,0.001,0.0
Belmont,0.611,0.318,0.085,0.024,0.004,0.002
Louisiana State,0.732,0.428,0.135,0.036,0.005,0.005
Yale,0.268,0.079,0.012,0.0,0.0,0.0
Louisville,0.692,0.173,0.101,0.027,0.006,0.001
Minnesota,0.308,0.037,0.015,0.004,0.001,0.0
Michigan State,0.975,0.785,0.615,0.38,0.147,0.096
Bradley,0.025,0.005,0.0,0.0,0.0,0.0
Gonzaga,0.997,0.933,0.818,0.597,0.444,0.348
Fairleigh Dickinson,0.003,0.001,0.0,0.0,0.0,0.0
Syracuse,0.265,0.003,0.001,0.0,0.0,0.0
Baylor,0.735,0.063,0.017,0.002,0.001,0.0
Marquette,0.557,0.241,0.03,0.007,0.003,0.001
Murray State,0.443,0.149,0.016,0.005,0.001,0.0
Florida State,0.734,0.488,0.109,0.048,0.021,0.009
Vermont,0.266,0.122,0.009,0.004,0.0,0.0
Buffalo,0.882,0.323,0.169,0.045,0.025,0.011
Arizona State,0.118,0.009,0.001,0.0,0.0,0.0
Texas Tech,0.901,0.644,0.429,0.175,0.1,0.056
Northern Kentucky,0.099,0.024,0.008,0.001,0.0,0.0
Nevada,0.44,0.163,0.041,0.008,0.001,0.001
Florida,0.56,0.2,0.067,0.014,0.001,0.0
Michigan,0.885,0.612,0.283,0.094,0.049,0.031
Montana,0.115,0.025,0.002,0.0,0.0,0.0
North Carolina,0.985,0.573,0.284,0.127,0.042,0.014
Iona,0.015,0.001,0.0,0.0,0.0,0.0
Utah State,0.501,0.225,0.084,0.029,0.01,0.0
Washington,0.499,0.201,0.081,0.025,0.005,0.001
Auburn,0.741,0.536,0.354,0.203,0.099,0.037
New Mexico State,0.259,0.114,0.046,0.015,0.004,0.0
Kansas,0.769,0.319,0.149,0.057,0.02,0.005
Northeastern,0.231,0.031,0.002,0.0,0.0,0.0
Iowa State,0.679,0.249,0.074,0.027,0.011,0.002
Ohio State,0.321,0.082,0.01,0.003,0.0,0.0
Houston,0.925,0.653,0.285,0.15,0.067,0.022
Georgia State,0.075,0.016,0.002,0.0,0.0,0.0
Wofford,0.912,0.51,0.332,0.195,0.105,0.035
Seton Hall,0.088,0.018,0.004,0.002,0.0,0.0
Kentucky,0.827,0.44,0.284,0.164,0.084,0.025
Abilene Christian,0.173,0.032,0.009,0.003,0.0,0.0
Virginia,0.921,0.734,0.499,0.231,0.128,0.041
Gardner-Webb,0.079,0.021,0.003,0.0,0.0,0.0
Mississippi,0.676,0.187,0.07,0.018,0.005,0.001
Oklahoma,0.324,0.058,0.016,0.002,0.0,0.0
Wisconsin,0.629,0.436,0.216,0.099,0.048,0.012
Oregon,0.371,0.204,0.078,0.021,0.007,0.0
Kansas State,0.489,0.179,0.054,0.014,0.005,0.001
UC-Irvine,0.511,0.181,0.064,0.014,0.007,0.0
Villanova,0.503,0.158,0.055,0.025,0.008,0.002
Saint Mary's (CA),0.497,0.141,0.049,0.018,0.004,0.001
Purdue,0.947,0.69,0.37,0.237,0.148,0.059
Old Dominion,0.053,0.011,0.001,0.0,0.0,0.0
Cincinnati,0.656,0.164,0.056,0.021,0.004,0.001
Iowa,0.344,0.052,0.009,0.0,0.0,0.0
Tennessee,0.939,0.767,0.455,0.3,0.189,0.075
Colgate,0.061,0.017,0.005,0.0,0.0,0.0
